date,close,open,high,low,volume
2024-04-02,35.91,34.91,36.11,34.52,97494
2024-04-03,35.6828,35.57,36.7289,35.3,514620
2024-04-04,38.44,37.21,39.355,37.0,701020
2024-04-05,37.12,36.67,38.55,36.5268,467788
2024-04-08,42.03,42.47,42.47,41.38,746783
2024-04-09,38.72,40.75,41.04,37.85,765405
2024-04-10,40.0,37.25,40.0,37.0,846645
2024-04-11,40.39,40.72,40.81,39.25,589056
2024-04-12,36.2,39.88,40.1191,34.23,1045999
2024-04-15,32.32,35.56,35.81,31.26,1496271
2024-04-16,31.71,32.1,32.2693,30.6205,722695
2024-04-17,29.92,31.26,31.94,28.55,1148610
2024-04-18,32.41,31.25,33.0,30.75,619390
2024-04-19,33.25,33.67,34.04,32.42,1153223
2024-04-22,35.51,35.02,35.84,34.57,632858
2024-04-23,35.39,35.0,36.12,34.93,393736
2024-04-24,32.6,34.91,35.17,32.29,719022
2024-04-25,33.31,31.75,33.5,31.48,508019
2024-04-26,32.37,32.47,33.415,31.87,357399
2024-04-29,31.52,31.08,31.72,30.24,505362
2024-04-30,27.91,29.7,29.94,27.7001,981450
2024-05-01,25.6,26.14,27.87,25.2,1252742
2024-05-02,27.7,27.19,27.9,26.7,456097
2024-05-03,30.32,29.4,30.4,29.38,616848
2024-05-06,31.27,31.74,32.36,30.92,802771
2024-05-07,31.2,31.7,32.45,30.95,378941
2024-05-08,30.25,30.06,30.87,29.87,332105
2024-05-09,30.52,29.45,30.8,28.9573,477202
2024-05-10,28.77,30.83,31.2,28.275,740637
2024-05-13,31.13,30.72,31.45,30.5671,360352
2024-05-14,29.56,30.01,30.21,29.1,382738
2024-05-15,34.0,32.14,34.295,31.88,1118565
2024-05-16,32.95,33.82,34.29,32.31,736864
2024-05-17,34.95,34.08,35.37,33.59,839060
2024-05-20,37.98,34.77,38.07,34.5,985830
2024-05-21,37.01,38.9,39.25,36.91,852052
2024-05-22,37.46,37.62,38.56,36.98,551189
2024-05-23,34.69,36.94,37.14,34.2,970326
2024-05-24,36.76,34.95,37.01,34.45,519359
2024-05-28,35.95,35.96,36.11,34.64,770699
2024-05-29,34.67,35.33,35.43,34.53,514199
2024-05-30,36.19,35.69,37.1199,35.52,579814
