date,close,open,high,low,volume
2010-03-11,0.6037815168,0.5873272135,0.6037815168,0.5873272135,3702000
2010-03-12,0.5888507601,0.6042385807,0.6081998019,0.5888507601,4548000
2010-03-15,0.5702634916,0.5769670966,0.5831374604,0.5614269213,534000
2010-03-16,0.6165793082,0.5774241606,0.6171887268,0.5765100327,1260000
2010-03-17,0.6388230885,0.6398895711,0.6462884668,0.6272441344,2610000
2010-03-18,0.6232829132,0.6388230885,0.6406513444,0.6144463429,1584000
2010-03-19,0.5949449465,0.6155128256,0.6157946817,0.5847371843,1596000
2010-03-22,0.6379089606,0.5832136377,0.6401942805,0.5798618352,3804000
2010-03-23,0.6790447187,0.6468978855,0.6814823933,0.6465931762,6114000
2010-03-24,0.6414115942,0.6724934683,0.6724934683,0.6380613152,2034000
2010-03-25,0.6382136699,0.6691416658,0.6787400094,0.6376042512,2034000
2010-03-26,0.6281582623,0.6552773918,0.6586291943,0.6156651802,2322000
2010-03-29,0.6450696296,0.6484214321,0.6523826532,0.6404974662,1380000
2010-03-30,0.657410357,0.6551250371,0.6642663167,0.6382136699,1920000
2010-03-31,0.6472025948,0.6624380608,0.6673118863,0.6436984376,1080000
2010-04-01,0.64933556,0.6653327993,0.6921472194,0.6385183792,1644000
2010-04-05,0.7043355922,0.6740170149,0.7069256214,0.6309006462,1500000
2010-04-06,0.693670766,0.6909283822,0.7035738189,0.6830059399,1998000
2010-04-07,0.7005267257,0.6973272779,0.7150004184,0.6781305907,3414000
2010-04-08,0.6756929162,0.687881289,0.687881289,0.6532967812,4470000
2010-04-09,0.693670766,0.6834630038,0.6939739518,0.6679228285,1254000
2010-04-12,0.7110391973,0.7041832376,0.7290170471,0.6958037313,2400000
2010-04-13,0.7247511166,0.7150004184,0.7282552738,0.7058591388,2904000
2010-04-14,0.8179921684,0.7696957413,0.8206492337,0.7696957413,6504000
2010-04-15,0.8250004828,0.8326182158,0.8438924606,0.8157205605,12666000
2010-04-16,0.7945295508,0.8150974299,0.8150974299,0.7573565374,4452000
2010-04-19,0.7677166542,0.7678674854,0.7911777483,0.7238369887,5712000
2010-04-20,0.8048896677,0.7901112657,0.8105267901,0.7846264979,2922000
2010-04-21,0.7797511488,0.8105267901,0.8283522853,0.7441001584,5772000
2010-04-22,0.8237816455,0.7645156828,0.8263716747,0.7288631689,6594000
2010-04-23,0.8274381573,0.8373412102,0.8373412102,0.7940724868,3600000
2010-04-26,0.834751181,0.8349035357,0.8574520253,0.8289617039,3846000
2010-04-27,0.7483660889,0.7998619639,0.8286569946,0.7459131789,5112000
2010-04-28,0.7632968456,0.7636015549,0.8036708304,0.7253605353,6864000
2010-04-29,0.7895018471,0.7636015549,0.7922442309,0.75461263,5838000
2010-04-30,0.6830059399,0.769391032,0.769391032,0.6813300386,10104000
2010-05-03,0.7332829776,0.6926042834,0.7440392166,0.6926042834,4926000
2010-05-04,0.6362330593,0.7180475116,0.7180475116,0.6045432901,19164000
2010-05-05,0.6158175349,0.6261776518,0.6452219842,0.5864146091,7920000
2010-05-06,0.5634075319,0.6094186392,0.63592835,0.3808866495,17448000
2010-05-07,0.5291277335,0.5484767753,0.5650651506,0.4701664801,12372000
2010-05-10,0.621607012,0.621607012,0.624043163,0.5913036701,7206000
2010-05-11,0.6097233485,0.5883936961,0.642174891,0.5809283178,27720000
2010-05-12,0.6592386129,0.619778756,0.6624380608,0.6197772325,42330000
2010-05-13,0.6075903833,0.6415654724,0.6680751832,0.599210877,28992000
2010-05-14,0.5521317635,0.5932690452,0.5932690452,0.5189184477,15846000
2010-05-17,0.5749864861,0.5404019783,0.5802884282,0.5210986429,19140000
2010-05-18,0.5280612508,0.5891554694,0.5990585223,0.520218033,16128000
2010-05-19,0.5364407571,0.5254712216,0.5522856418,0.4997232841,21306000
2010-05-20,0.4927149698,0.4951526443,0.5266900589,0.4610252005,10638000
2010-05-21,0.524861803,0.4722994454,0.5475626473,0.4605681366,11220000
2010-05-24,0.4939338071,0.5145016861,0.5345820303,0.4939338071,10944000
2010-05-25,0.5050556972,0.4518839209,0.5052080519,0.4342107804,10818000
2010-05-26,0.502465668,0.5304989254,0.5518285778,0.4995099876,14250000
2010-05-27,0.5789477072,0.5414684609,0.5797094805,0.5338507279,10578000
2010-05-28,0.5510668045,0.5856513122,0.5856513122,0.5276041869,9288000
2010-06-01,0.5135875582,0.5475611238,0.5678258171,0.5135875582,4530000
2010-06-02,0.5684352357,0.5318701173,0.5691055962,0.5157205234,11094000
2010-06-03,0.590221952,0.5786429979,0.5969255571,0.5621886946,9102000
2010-06-04,0.5134352035,0.5749864861,0.576357678,0.5049947554,13650000
2010-06-07,0.4561193805,0.5209005818,0.5283659602,0.4525085751,18312000
2010-06-08,0.4511221476,0.4587398806,0.4608728459,0.4176650644,12504000
2010-06-09,0.4421332227,0.4634628751,0.4922579058,0.4364961003,8634000
2010-06-10,0.4907343592,0.4655958403,0.4924102605,0.4584351713,9504000
2010-06-11,0.5116831249,0.4735182826,0.5138922675,0.4692523522,6510000
2010-06-14,0.5214581999,0.5364407571,0.5507620952,0.5202911632,6924000
2010-06-15,0.6082912147,0.5332413093,0.6121610231,0.5332413093,14508000
2010-06-16,0.6167316628,0.5954020105,0.6304070171,0.5795571259,14226000
2010-06-17,0.6127704417,0.6289200356,0.6302912276,0.5815377364,8724000
2010-06-18,0.6086568659,0.6156651802,0.6238923319,0.6002773596,4656000
2010-06-21,0.5925072719,0.63592835,0.6519255893,0.5813853818,9054000
2010-06-22,0.5612745667,0.5954020105,0.6188646281,0.5560945082,9888000
2010-06-23,0.5661499158,0.5667593344,0.5873272135,0.5361360478,8076000
2010-06-24,0.5167565351,0.5562468629,0.5582274735,0.5099310463,11754000
2010-06-25,0.5184629073,0.5227273142,0.5242508608,0.4905820045,8718000
2010-06-28,0.5245570937,0.5132828488,0.5414684609,0.5053604065,4248000
