date,close,open,high,low,volume
2010-02-11,83.050003,78.12,83.5,77.87,288000
2010-02-12,83.389999,80.79,84.11,80.32,716800
2010-02-16,86.620003,85.35,86.82,84.01,801600
2010-02-17,88.089996,87.78,88.11,86.46,1598400
2010-02-18,89.760002,88.0,90.29,87.47,3238400
2010-02-19,89.760002,89.15,90.93,88.47,3873600
2010-02-22,89.129997,90.82,90.82,88.12,2124800
2010-02-23,85.650002,88.64,89.12,84.47,3427200
2010-02-24,88.239998,87.16,89.25,86.69,2942400
2010-02-25,88.190002,85.42,88.79,83.71,3801600
2010-02-26,89.290001,87.93,89.66,87.06,2400000
2010-03-01,93.120003,90.42,93.5,90.42,1185600
2010-03-02,93.68,93.94,95.7,93.43,2017600
2010-03-03,94.199997,94.73,95.55,93.29,1998400
2010-03-04,95.239998,94.53,95.37,93.06,1227200
2010-03-05,99.449997,97.27,99.89,96.75,1120000
2010-03-08,99.980003,99.54,100.7,99.54,1056000
2010-03-09,101.75,99.43,103.31,99.35,1934400
2010-03-10,104.239998,101.89,104.86,101.82,1670400
2010-03-11,105.199997,103.61,105.35,102.92,2246400
2010-03-12,105.440002,106.36,106.36,104.23,1505600
2010-03-15,104.730003,104.74,105.45,102.5,1766400
2010-03-16,106.709999,105.76,107.01,104.66,1940800
2010-03-17,107.449997,107.01,108.97,106.56,1659200
2010-03-18,108.540001,107.82,108.88,107.11,2174400
2010-03-19,106.620003,106.62,109.73,105.48,1668800
2010-03-22,109.5,105.37,110.78,104.97,2449600
2010-03-23,111.790001,110.25,112.03,108.54,2305600
2010-03-24,110.199997,111.0,111.24,109.5,3718400
2010-03-25,109.510002,112.89,114.07,109.42,3913600
2010-03-26,110.080002,111.07,112.19,108.35,3512000
2010-03-29,111.589996,111.74,112.73,110.77,1585600
2010-03-30,112.760002,112.51,113.73,110.47,1662400
2010-03-31,111.239998,111.5,113.0,110.47,2481600
2010-04-01,111.019997,112.48,114.63,108.53,4859200
2010-04-05,114.230003,111.83,114.9,111.0,2816000
2010-04-06,115.099998,113.36,116.14,112.64,2446400
2010-04-07,114.449997,114.71,115.96,112.45,4427200
2010-04-08,114.860001,113.29,115.53,111.56,2902400
2010-04-09,116.93,115.24,117.21,114.35,2420800
2010-04-12,117.400002,117.33,118.3,116.56,2033600
2010-04-13,119.169998,117.02,119.36,115.96,2801600
2010-04-14,123.370003,120.87,123.47,120.62,2545600
2010-04-15,125.019997,123.24,125.48,123.13,1907200
2010-04-16,120.57,123.7,124.91,118.25,5395200
2010-04-19,120.379997,119.44,121.48,116.0,4697600
2010-04-20,122.160004,122.25,123.0,119.96,2337600
2010-04-21,124.309998,124.64,125.37,122.0,3499200
2010-04-22,126.150002,120.68,126.57,118.62,5118400
2010-04-23,127.82,126.27,128.22,124.78,3432000
2010-04-26,126.870003,127.91,128.87,126.25,3355200
2010-04-27,119.040001,125.64,126.98,118.0,5572800
2010-04-28,119.32,120.87,120.99,116.43,5211200
2010-04-29,125.410004,120.98,126.01,120.97,3531200
2010-04-30,118.019997,125.22,125.81,117.71,3688000
2010-05-03,122.839996,119.4,124.62,119.37,2192000
2010-05-04,111.980003,118.19,118.2,109.31,5718400
2010-05-05,110.139999,108.47,112.11,106.4,5771200
2010-05-06,99.349998,107.87,110.98,68.0,9075200
2010-05-07,92.120003,96.72,100.33,85.71,10344000
2010-05-10,105.860001,103.75,106.17,103.18,7886400
2010-05-11,105.790001,102.87,110.0,102.27,6126400
2010-05-12,111.489998,107.24,111.72,106.84,4523200
2010-05-13,106.449997,110.42,112.74,105.78,4398400
2010-05-14,99.900002,103.84,103.98,96.5,6424000
2010-05-17,101.25,100.87,102.37,94.8,5702400
2010-05-18,97.379997,103.72,104.3,95.6,7942400
2010-05-19,94.809998,95.7,98.0,91.43,9907200
2010-05-20,85.220001,89.07,89.71,83.45,11374400
2010-05-21,85.879997,80.03,88.53,79.18,9763200
2010-05-24,86.589996,86.35,89.55,85.59,6459200
2010-05-25,85.980003,80.16,86.25,77.6,7193600
2010-05-26,83.32,87.31,90.9,82.68,8680000
2010-05-27,92.339996,88.87,92.57,88.15,7217600
2010-05-28,91.050003,92.95,93.21,88.5,6945600
2010-06-01,88.529999,90.09,94.74,88.0,8446400
2010-06-02,94.76,90.0,94.76,88.08,295381
2010-06-03,97.220001,95.46,97.76,93.66,4785600
2010-06-04,87.620003,91.12,94.75,86.34,10248000
2010-06-07,82.540001,88.47,89.44,82.4,7030400
2010-06-08,82.080002,83.13,83.68,78.81,11080000
2010-06-09,80.269997,83.74,86.09,79.35,9560000
2010-06-10,86.93,83.07,87.1,82.39,6480000
2010-06-11,89.199997,84.23,89.55,84.23,5222400
2010-06-14,89.25,91.85,93.61,88.89,9475200
2010-06-15,95.769997,90.73,96.81,90.46,8337600
2010-06-16,97.699997,95.69,99.0,95.22,6598400
2010-06-17,98.68,99.23,99.38,96.14,6793600
2010-06-18,98.949997,99.19,100.94,97.96,5816000
2010-06-21,96.349998,102.56,103.0,94.72,9163200
2010-06-22,94.07,97.46,99.58,93.58,7483200
2010-06-23,92.809998,94.42,95.39,90.7,9363200
2010-06-24,88.309998,91.7,92.5,87.8,9976000
